#CentralWav (um) 	 MinWav 	 MaxWav 	 u1 	 u2
1.3275814056 	 1.3273480534 	 1.3278147577 	 0.1266588800 	 0.3050933700
1.3271147013 	 1.3268814683 	 1.3273479343 	 0.1267053000 	 0.3052198000
1.3266482353 	 1.3264149428 	 1.3268815279 	 0.1265977900 	 0.3055782900
1.3261816502 	 1.3259483576 	 1.3264149428 	 0.1264904700 	 0.3059361500
1.3257150650 	 1.3254818321 	 1.3259482980 	 0.1263833600 	 0.3062932800
1.3252485991 	 1.3250152469 	 1.3254819513 	 0.1262765000 	 0.3066495900
1.3247818947 	 1.3245487213 	 1.3250150681 	 0.1261698000 	 0.3070053700
1.3243155479 	 1.3240821362 	 1.3245489596 	 0.1260634100 	 0.3073601500
1.3238487244 	 1.3236155510 	 1.3240818978 	 0.1259571200 	 0.3077145700
1.3233823776 	 1.3231490255 	 1.3236157297 	 0.1258511500 	 0.3080679100
1.3229156733 	 1.3226824403 	 1.3231489063 	 0.1257452700 	 0.3084209500
1.3224492073 	 1.3222159147 	 1.3226824999 	 0.1256968700 	 0.3085393800
1.3219826221 	 1.3217493296 	 1.3222159147 	 0.1257425500 	 0.3082734300
1.3215160370 	 1.3212828040 	 1.3217492700 	 0.1258251900 	 0.3078563900
1.3210495710 	 1.3208162189 	 1.3212829232 	 0.1259079600 	 0.3074386500
1.3205828667 	 1.3203496933 	 1.3208160401 	 0.1259909100 	 0.3070199900
1.3201165199 	 1.3198831081 	 1.3203499317 	 0.1260739500 	 0.3066008700
1.3196496964 	 1.3194165230 	 1.3198828698 	 0.1261572500 	 0.3061804900
1.3191833496 	 1.3189499974 	 1.3194167018 	 0.1262405600 	 0.3057600200
1.3187166452 	 1.3184834122 	 1.3189498781 	 0.1263240400 	 0.3053387000
1.3182501793 	 1.3180168867 	 1.3184834719 	 0.1264076600 	 0.3049166600
1.3177835941 	 1.3175503016 	 1.3180168866 	 0.1264914900 	 0.3044935600
1.3173170090 	 1.3170837760 	 1.3175502420 	 0.1266210900 	 0.3042410800
1.3168505430 	 1.3166171908 	 1.3170838951 	 0.1268018500 	 0.3041806000
1.3163838387 	 1.3161506653 	 1.3166170121 	 0.1269881100 	 0.3041408000
1.3159174919 	 1.3156841397 	 1.3161508441 	 0.1271740300 	 0.3041010800
1.3154507875 	 1.3152175546 	 1.3156840204 	 0.1273599900 	 0.3040613400
1.3149843216 	 1.3147509694 	 1.3152176738 	 0.1275458300 	 0.3040216400
1.3145176172 	 1.3142843843 	 1.3147508502 	 0.1277316300 	 0.3039819400
1.3140511513 	 1.3138178587 	 1.3142844439 	 0.1279171500 	 0.3039423000
1.3135845661 	 1.3133512736 	 1.3138178587 	 0.1281025800 	 0.3039026800
1.3131179810 	 1.3128847480 	 1.3133512140 	 0.1282878900 	 0.3038630900
1.3126515150 	 1.3124181628 	 1.3128848672 	 0.1284765400 	 0.3038388800
1.3121848106 	 1.3119516372 	 1.3124179840 	 0.1286850700 	 0.3039021700
1.3117184639 	 1.3114851117 	 1.3119518161 	 0.1289094800 	 0.3040373800
1.3112517595 	 1.3110185266 	 1.3114849925 	 0.1291335400 	 0.3041723800
1.3107852936 	 1.3105520010 	 1.3110185862 	 0.1293569600 	 0.3043070000
