# Wavelength (um) 	 Transit depth
0.2181262951 	 0.0144120632
0.2181738846 	 0.0144119564
0.2182214948 	 0.0144119021
0.2182691258 	 0.0144117813
0.2183167776 	 0.0144116931
0.2183644503 	 0.0144116082
0.2184121437 	 0.0144114846
0.2184598580 	 0.0144114244
0.2185075931 	 0.0144113420
0.2185553491 	 0.0144112194
0.2186031260 	 0.0144111410
0.2186509238 	 0.0144110486
0.2186987425 	 0.0144109640
0.2187465821 	 0.0144108659
0.2187944426 	 0.0144107564
0.2188423241 	 0.0144106755
0.2188902266 	 0.0144105655
0.2189381500 	 0.0144105078
0.2189860944 	 0.0144103880
0.2190340598 	 0.0144103027
0.2190820462 	 0.0144102287
0.2191300537 	 0.0144101313
0.2191780822 	 0.0144100310
0.2192261317 	 0.0144099478
0.2192742024 	 0.0144098334
0.2193222941 	 0.0144097403
0.2193704069 	 0.0144096361
0.2194185409 	 0.0144095675
0.2194666959 	 0.0144094534
0.2195148721 	 0.0144093850
0.2195630695 	 0.0144092862
0.2196112880 	 0.0144092003
0.2196595277 	 0.0144091158
0.2197077886 	 0.0144089904
0.2197560708 	 0.0144089220
0.2198043741 	 0.0144088015
0.2198526987 	 0.0144087193
0.2199010445 	 0.0144086477
0.2199494116 	 0.0144085269
0.2199978000 	 0.0144084664
0.2200462097 	 0.0144083388
0.2200946407 	 0.0144082841
0.2201430930 	 0.0144081512
0.2201915667 	 0.0144080855
0.2202400617 	 0.0144079600
0.2202885780 	 0.0144078833
0.2203371158 	 0.0144077948
0.2203856749 	 0.0144077014
0.2204342555 	 0.0144076142
0.2204828575 	 0.0144075120
0.2205314809 	 0.0144074476
0.2205801257 	 0.0144073139
0.2206287921 	 0.0144072477
0.2206774799 	 0.0144071411
0.2207261892 	 0.0144070654
0.2207749200 	 0.0144069566
0.2208236723 	 0.0144068756
0.2208724462 	 0.0144067573
0.2209212416 	 0.0144066840
0.2209700586 	 0.0144065744
0.2210188971 	 0.0144064943
0.2210677573 	 0.0144063980
0.2211166390 	 0.0144063095
0.2211655424 	 0.0144062033
0.2212144674 	 0.0144061122
0.2212634141 	 0.0144060112
0.2213123824 	 0.0144059241
0.2213613724 	 0.0144058401
0.2214103842 	 0.0144057458
0.2214594176 	 0.0144056416
0.2215084727 	 0.0144055550
0.2215575496 	 0.0144054598
0.2216066482 	 0.0144053776
0.2216557686 	 0.0144052803
0.2217049108 	 0.0144051953
0.2217540747 	 0.0144050708
0.2218032605 	 0.0144049952
0.2218524681 	 0.0144049164
0.2219016975 	 0.0144047984
0.2219509488 	 0.0144047259
0.2220002220 	 0.0144046209
0.2220495170 	 0.0144045389
0.2220988340 	 0.0144044294
0.2221481728 	 0.0144043465
0.2221975336 	 0.0144042552
0.2222469163 	 0.0144041730
0.2222963210 	 0.0144040585
0.2223457476 	 0.0144039773
0.2223951963 	 0.0144038870
0.2224446669 	 0.0144037661
0.2224941595 	 0.0144037054
0.2225436742 	 0.0144036041
0.2225932109 	 0.0144034867
0.2226427697 	 0.0144034125
0.2226923505 	 0.0144033366
0.2227419535 	 0.0144032246
0.2227915785 	 0.0144031376
0.2228412256 	 0.0144030213
0.2228908949 	 0.0144029372
0.2229405863 	 0.0144028526
0.2229902999 	 0.0144027546
0.2230400357 	 0.0144026482
0.2230897936 	 0.0144025465
0.2231395738 	 0.0144024789
0.2231893762 	 0.0144023693
0.2232392008 	 0.0144022871
0.2232890477 	 0.0144021844
0.2233389168 	 0.0144020941
0.2233888082 	 0.0144020049
0.2234387219 	 0.0144019238
0.2234886580 	 0.0144018058
0.2235386163 	 0.0144017061
0.2235885970 	 0.0144016152
0.2236386000 	 0.0144015436
0.2236886254 	 0.0144014482
0.2237386732 	 0.0144013522
0.2237887434 	 0.0144012457
0.2238388360 	 0.0144011783
0.2238889511 	 0.0144010694
0.2239390886 	 0.0144009781
0.2239892485 	 0.0144008933
0.2240394309 	 0.0144007787
0.2240896358 	 0.0144006978
0.2241398633 	 0.0144005829
0.2241901132 	 0.0144005162
0.2242403857 	 0.0144003931
0.2242906807 	 0.0144003130
